#Source    , abH2S     , e_abH2S   , abOCS     , e_abOCS   , abOC33S   , e_abOC33S , abOC34S   , e_abOC34S , abSO_min  , abSO_max  , abSO2_min , abSO2_max , abtot     , e_abtot
B1-bN      , 1.442e-09 , 1.231e-10 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , nan      , <7.282e-12 , nan      , <2.913e-11 , 1.464e-09 , 1.231e-10 
B1-bS      , 1.603e-08 , 4.928e-10 , 1.741e-09 , 6.787e-10 , 3.074e-11 , 2.133e-12 , 7.736e-11 , 3.016e-11 , nan      , <4.688e-12 , nan      , <1.875e-11 , 1.778e-08 , 8.392e-10 
B5-IRS1    , 8.998e-08 , 2.257e-08 , <1.277e-08 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 3.071e-10 , 9.503e-10 , nan      , <5.901e-10 , 1.038e-07 , 2.257e-08 
HH211      , 5.861e-10 , 4.629e-11 , 4.453e-09 , 2.440e-09 , 5.107e-11 , 8.382e-18 , 1.979e-10 , 1.085e-10 , 3.406e-11 , 9.991e-11 , 3.526e-11 , 2.791e-10 , 5.263e-09 , 2.443e-09 
IC348MMS   , 4.188e-08 , 7.703e-11 , 2.803e-09 , 4.350e-10 , 2.480e-11 , 4.221e-12 , 1.246e-10 , 1.933e-11 , 1.053e-11 , 2.017e-11 , 5.149e-12 , 2.959e-11 , 4.472e-08 , 4.422e-10 
IRAS2A     , 2.071e-07 , 1.204e-08 , 6.716e-08 , 4.235e-08 , 4.948e-10 , 3.986e-11 , 2.985e-09 , 1.882e-09 , >1.138e-09 , nan      , >1.815e-09 , nan      , 2.763e-07 , 4.407e-08 
IRAS2B     , 1.142e-09 , 1.691e-10 , 1.173e-09 , 2.371e-10 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , >1.091e-09 , nan      , 6.970e-11 , 8.280e-10 , 3.642e-09 , 2.912e-10 
IRAS4B     , 8.413e-08 , 1.371e-11 , 5.871e-09 , 1.611e-09 , 6.209e-11 , 2.239e-12 , 2.609e-10 , 7.159e-11 , >3.326e-11 , nan      , 2.144e-11 , 1.957e-10 , 9.012e-08 , 1.612e-09 
IRAS4C     , 3.788e-10 , 4.133e-11 , 1.275e-10 , 4.513e-11 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 5.894e-11 , 1.794e-10 , nan      , <6.562e-11 , 6.878e-10 , 6.120e-11 
L1448-IRS3A, 1.383e-09 , 2.888e-10 , 1.374e-08 , 7.362e-09 , 1.495e-10 , 2.161e-17 , 6.106e-10 , 3.272e-10 , >5.937e-10 , nan      , 1.115e-10 , 1.003e-09 , 1.612e-08 , 7.375e-09 
L1448-IRS3B, 5.370e-10 , 2.398e-11 , 3.195e-09 , 1.509e-09 , 1.596e-11 , 3.953e-18 , 1.420e-10 , 6.707e-11 , 1.537e-11 , 4.762e-11 , nan      , <4.465e-11 , 3.793e-09 , 1.511e-09 
L1448C     , 4.113e-09 , 8.453e-11 , 1.201e-08 , 1.159e-08 , 9.314e-11 , 2.279e-11 , 5.338e-10 , 5.151e-10 , >4.621e-10 , nan      , 2.011e-10 , 3.133e-09 , 1.812e-08 , 1.160e-08 
L1448NW    , 2.749e-10 , 7.525e-11 , <9.798e-11 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , >8.019e-11 , nan      , 1.339e-11 , 1.201e-10 , 5.177e-10 , 7.525e-11 
Per-emb-02 , 2.397e-10 , 1.167e-11 , 2.222e-11 , 8.826e-12 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 1.452e-11 , 3.997e-11 , nan      , <6.800e-11 , 3.304e-10 , 1.463e-11 
Per-emb-05 , 2.059e-10 , 1.538e-11 , 2.658e-09 , 8.009e-10 , 9.649e-12 , 3.162e-12 , 1.181e-10 , 3.560e-11 , 3.125e-11 , 9.132e-11 , nan      , <9.041e-11 , 2.986e-09 , 8.019e-10 
Per-emb-08 , 5.013e-10 , 1.287e-10 , <1.259e-10 , nan      , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 1.629e-11 , 4.202e-11 , nan      , <6.440e-11 , 6.967e-10 , 1.287e-10 
Per-emb-18 , 1.271e-09 , 6.118e-11 , 1.673e-08 , 2.535e-09 , 1.078e-10 , 2.210e-11 , 7.436e-10 , 1.127e-10 , >4.440e-10 , nan      , 9.262e-11 , 6.809e-10 , 1.876e-08 , 2.538e-09 
Per-emb-22 , 2.683e-09 , 9.305e-11 , 1.676e-09 , 1.073e-10 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 2.370e-11 , 1.635e-10 , 1.411e-11 , 1.263e-10 , 4.527e-09 , 1.420e-10 
Per-emb-29 , 2.401e-07 , 3.933e-09 , 2.018e-08 , 9.100e-09 , 2.580e-10 , 2.523e-11 , 8.971e-10 , 4.044e-10 , >9.756e-11 , nan      , 3.337e-11 , 1.733e-10 , 2.605e-07 , 9.921e-09 
Per-emb-30 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , nan       , nan       , nan       , nan       , 0.000e+00 , 0.000e+00 
Per-emb-50 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 1.108e-09 , 3.163e-09 , 4.341e-10 , 7.437e-09 , 6.408e-09 , 0.000e+00 
Per-emb-62 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , 0.000e+00 , nan       , nan       , nan       , nan       , 0.000e+00 , 0.000e+00 
SVS13A     , 1.343e-06 , 8.955e-08 , 3.922e-07 , 2.448e-07 , 3.542e-09 , 2.376e-10 , 1.743e-08 , 1.088e-08 , >4.480e-09 , nan      , >6.385e-09 , nan      , 1.742e-06 , 2.609e-07 
SVS13B     , 2.323e-10 , 1.684e-11 , 1.204e-09 , 5.534e-10 , 1.705e-11 , 2.701e-18 , 5.350e-11 , 2.460e-11 , 1.912e-11 , 7.792e-11 , nan      , <1.895e-10 , 1.589e-09 , 5.542e-10 
