source     , line    , sigma   , v_min , v_max
B1bN       , OCS1817 , 1.13E-2 , 4.0   , 9.0
B1bN       , OCS1918 , 1.33E-2 , 4.0   , 9.0
B1bN       , H2S     , 2.19E-3 , -5.0  , 20.0
B1bS       , OCS1817 , 1.13E-2 , 4.0   , 9.0
B1bS       , OCS1918 , 1.32E-2 , 4.0   , 9.0
B1bS       , H2S     , 2.18E-3 , -5.0  , 20.0
B5-IRS1    , OCS1817 , 1.29E-2 , 7.0   , 13.0
B5-IRS1    , OCS1918 , 1.55E-2 , 7.0   , 13.0
B5-IRS1    , H2S     , 2.55E-3 , 5.0   , 15.0
HH211      , OCS1817 , 1.31E-2 , 6.0   , 11.0
HH211      , OCS1918 , 1.13E-2 , 6.0   , 11.0
HH211      , H2S     , 2.45E-3 , 0.0   , 16.0
IC348MMS   , OCS1817 , 1.27E-2 , 6.0   , 11.0
IC348MMS   , OCS1918 , 1.51E-2 , 6.0   , 11.0
IC348MMS   , H2S     , 2.41E-3 , 2.0   , 18.0
IRAS2A     , OCS1817 , 1.23E-2 , 3.0   , 11.0
IRAS2A     , OCS1918 , 1.44E-2 , 3.0   , 11.0
IRAS2A     , H2S     , 2.32E-3 , -2.0  , 14.0
IRAS2B     , OCS1817 , 1.23E-2 , 3.0   , 12.0
IRAS2B     , OCS1918 , 1.45E-2 , 3.0   , 12.0
IRAS2B     , H2S     , 2.33E-3 , 3.0   , 12.0
IRAS4B     , OCS1817 , 1.08E-2 , -1.0  , 15.0
IRAS4B     , OCS1918 , 1.29E-2 , -1.0  , 15.0
IRAS4B     , H2S     , 2.09E-3 , -3.0  , 18.0
IRAS4C     , OCS1817 , 1.06E-2 , 5.0   , 11.0
IRAS4C     , OCS1918 , 1.24E-2 , 5.0   , 11.0
IRAS4C     , H2S     , 2.05E-3 , 2.0   , 15.0
L1448-IRS3A, OCS1817 , 1.13E-2 , 4.0   , 9.0
L1448-IRS3A, OCS1918 , 1.33E-2 , 4.0   , 9.0
L1448-IRS3A, H2S     , 2.19E-3 , -5.0  , 20.0
L1448-IRS3B, OCS1817 , 1.53E-2 , 3.0   , 7.0
L1448-IRS3B, OCS1918 , 1.80E-2 , 3.0   , 7.0
L1448-IRS3B, H2S     , 2.87E-3 , 0.0   , 10.0
L1448C     , OCS1817 , 1.37E-2 , 2.0   , 12.0
L1448C     , OCS1918 , 1.61E-2 , 2.0   , 12.0
L1448C     , H2S     , 2.61E-3 , -1.0  , 13.0
L1448NW    , OCS1817 , 1.18E-2 , 3.0   , 6.0
L1448NW    , OCS1918 , 1.39E-2 , 3.0   , 6.0
L1448NW    , H2S     , 2.25E-3 , -4.0  , 12.0
Per-emb-02 , OCS1817 , 1.27E-2 , 6.0   , 11.0
Per-emb-02 , OCS1918 , 1.51E-2 , 6.0   , 11.0
Per-emb-02 , H2S     , 2.41E-3 , 2.0   , 18.0
Per-emb-05 , OCS1817 , 1.29E-2 , 4.0   , 10.0
Per-emb-05 , OCS1918 , 1.53E-2 , 4.0   , 10.0
Per-emb-05 , H2S     , 2.45E-3 , 2.0   , 10.0
Per-emb-08 , OCS1817 , 1.32E-2 , 6.0   , 11.0
Per-emb-08 , OCS1918 , 1.54E-2 , 6.0   , 11.0
Per-emb-08 , H2S     , 2.45E-3 , 6.0   , 14.0
Per-emb-18 , OCS1817 , 1.06E-2 , 4.0   , 13.0
Per-emb-18 , OCS1918 , 1.23E-2 , 4.0   , 13.0
Per-emb-18 , H2S     , 2.04E-3 , 2.0   , 13.0
Per-emb-22 , OCS1817 , 1.20E-2 , -1.0  , 9.0
Per-emb-22 , OCS1918 , 1.41E-2 , -1.0  , 9.0
Per-emb-22 , H2S     , 2.28E-3 , -1.0  , 10.0
Per-emb-29 , OCS1817 , 1.26E-2 , 2.0   , 9.0
Per-emb-29 , OCS1918 , 1.49E-2 , 2.0   , 9.0
Per-emb-29 , H2S     , 2.44E-3 , 1.0   , 10.0
Per-emb-30 , OCS1817 , 1.29E-2 , 4.0   , 10.0
Per-emb-30 , OCS1918 , 1.49E-2 , 4.0   , 10.0
Per-emb-30 , H2S     , 2.44E-3 , 0.0   , 13.0
Per-emb-50 , OCS1817 , 1.40E-2 , 5.0   , 10.0
Per-emb-50 , OCS1918 , 1.60E-2 , 5.0   , 10.0
Per-emb-50 , H2S     , 2.60E-3 , 0.0   , 13.0
Per-emb-62 , OCS1817 , 1.22E-2 , 6.0   , 10.0
Per-emb-62 , OCS1918 , 1.46E-2 , 6.0   , 10.0
Per-emb-62 , H2S     , 2.35E-3 , 3.0   , 11.0
SVS13A     , OCS1817 , 1.41E-2 , 3.0   , 13.0
SVS13A     , OCS1918 , 1.61E-2 , 3.0   , 13.0
SVS13A     , H2S     , 2.62E-3 , 0.0   , 15.0
SVS13B     , OCS1817 , 1.09E-2 , 5.0   , 12.0
SVS13B     , OCS1918 , 1.30E-2 , 5.0   , 12.0
SVS13B     , H2S     , 2.10E-3 , 2.0   , 13.0
