#Source    , H2S/OCS   , e-        , e+        , 34S/33S   , e-        , e+        , H2S(33/32), e-        , e+        , OCS(32/34), e-        , e+
B1-bN      , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
B1-bS      , 9.207e+00 , 2.786e+00 , 4.326e+00 , 2.517e+00 , 1.081e+00 , 1.155e+00 , 1.441e+02 , 1.376e+01 , 4.941e+00 , 2.159e+01 , 9.310e+00 , 8.524e+00 
B5-IRS1    , >7.045e+00 , nan      , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
HH211      , 1.316e-01 , 5.331e-02 , 1.252e-01 , 3.875e+00 , 2.124e+00 , 2.124e+00 , nan       , nan       , nan       , 1.617e+01 , 1.006e+01 , 9.531e+00 
IC348MMS   , 1.494e+01 , 2.030e+00 , 1.860e+00 , 5.025e+00 , 1.397e+00 , 1.573e+00 , 8.647e+01 , 3.818e+00 , 2.725e-01 , 1.155e+01 , 2.187e+00 , 1.808e+00 
IRAS2A     , >3.083e+00 , nan      , nan       , 6.032e+00 , 3.970e+00 , 4.378e+00 , >1.274e+01 , nan      , nan       , 3.260e+00 , 2.067e+00 , 2.056e+00 
IRAS2B     , 9.732e-01 , 2.835e-01 , 3.328e-01 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
IRAS4B     , 1.433e+01 , 3.087e+00 , 3.615e+00 , 4.202e+00 , 1.259e+00 , 1.287e+00 , 7.726e+01 , 1.022e+00 , 2.161e-02 , 9.851e+00 , 2.894e+00 , 2.709e+00 
IRAS4C     , 2.971e+00 , 1.016e+00 , 1.528e+00 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
L1448-IRS3A, 1.007e-01 , 4.881e-02 , 1.147e-01 , 4.085e+00 , 2.189e+00 , 2.189e+00 , nan       , nan       , nan       , 5.806e+00 , 3.348e+00 , 3.167e+00 
L1448-IRS3B, 1.681e-01 , 5.903e-02 , 1.123e-01 , 8.896e+00 , 4.202e+00 , 4.202e+00 , nan       , nan       , nan       , 1.462e+01 , 7.617e+00 , 7.056e+00 
L1448C     , 3.424e-01 , 1.718e-01 , 6.447e+00 , 5.731e+00 , 5.570e+00 , 7.963e+00 , nan       , nan       , nan       , 1.699e+00 , 1.643e+00 , 1.646e+00 
L1448NW    , >2.805e+00 , nan      , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-02 , 1.079e+01 , 3.443e+00 , 5.496e+00 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-05 , 7.746e-02 , 2.238e-02 , 2.972e-02 , 1.224e+01 , 5.801e+00 , 8.868e+00 , nan       , nan       , nan       , 1.491e+01 , 5.514e+00 , 4.647e+00 
Per-emb-08 , >3.982e+00 , nan      , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-18 , 7.594e-02 , 1.317e-02 , 1.313e-02 , 6.899e+00 , 2.041e+00 , 2.411e+00 , nan       , nan       , nan       , 4.923e+00 , 9.988e-01 , 7.617e-01 
Per-emb-22 , 1.601e+00 , 1.485e-01 , 1.311e-01 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-29 , 1.189e+01 , 3.830e+00 , 6.811e+00 , 3.478e+00 , 1.738e+00 , 1.932e+00 , 5.443e+01 , 1.758e+00 , 9.017e-01 , 1.225e+01 , 5.729e+00 , 5.533e+00 
Per-emb-30 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-50 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
Per-emb-62 , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       , nan       
SVS13A     , >3.423e+00 , nan      , nan       , 4.921e+00 , 3.188e+00 , 3.455e+00 , >1.520e+01 , nan      , nan       , 4.573e+00 , 2.861e+00 , 2.854e+00 
SVS13B     , 1.930e-01 , 7.037e-02 , 1.314e-01 , 3.138e+00 , 1.443e+00 , 1.443e+00 , nan       , nan       , nan       , 4.389e+00 , 2.099e+00 , 2.023e+00 
